BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
1,"","almazov","Алмазов, А. И.","История чинопоследований крещения и миропомазания","",,,"","",1884,"Казань","","","","","","","","Типография императорского университета","","","","","","","","Литургика","catechism","",""
1,"","andreev","Андреев, Иван Михайлович","Православно-христианское нравственное богословие","",,,"","",1966,"Jordanville, New York, Holy Trinity Monastery","","","","","","","","Тип. прп. Иова Почаевского","","","","","","","","Нравственное богословие","nrav","",""
1,"","dlugosh","Антоний Длугош, еп.","Как подготавливать и оценивать катехизацию","",,,"","",2001,"М.","","","","","","","Господникова, Л.; Драпкина, М.","Издательство Францисканцев","","","","","","","","Оглашение и катехизация","catechism","",""
1,"","sagisbaev","Багисбаев, К.","Последняя вера","",,,"","",2017,"М.","","","","","","","","АСТ","","","","","","","","","bogoslovie","",""
1,"","history_book8","Беглов, А. Л.; Васильева, О. Ю.; Журавский, А. В.","Русская Православная Церковь","",,,"","",2008,"М.","","","","","","","","Издательство Сретенского монастыря","","","","","","","","","history_books","",""
7,"","history_book1","Беглов, А. Л.","Епископат Русской Православной Церкви и церковное подполье в 1920–1940-е гг.","«Альфа и Омега»",,1 (35),"","138-155",2003,"М.","","https://azbyka.ru/otechnik/Istorija_Tserkvi/episkopat-russkoj-pravoslavnoj-tserkvi-i-tserkovnoe-podpole-v-1920-1940-e-gg","","","","","","","","","","","","","","","history_books","",""
1,"","missiologia","","Миссиология","",,,"","",2010,"М.","","","","","2","","архиеп. Белгородского и Старооскольского Иоанна","Миссионерский отдел Русской Православной Церкви","","","","","","","","","missia","",""
1,"","bodalev","Бодалев, А. А.","Психология общения","",,,"","",2015,"М.","","","","","","","","Издательство «Институт практической психологии» — Воронеж «МОДЭК»","","","","","","","","","psychology","",""
10,"","burega","Бурега, В. В.","Отношение к проблеме гомосексуализма в современном западном христианстве","",,,"","",,"","","http://bogoslov.ru/text/2663206.html","","","","","","","","","","","","","","","bogoslovie","",""
1,"","gavrilyuk","Гаврилюк П., диак.","История катехизации в Древней Цер\-кви","",,,"","",2001,"М.","","","","","","","","Свято-Филаретовская московская высшая православно-христианская школа","","","","","","","","","catechism","",""
1,"","finance5","Гамольский, П. Ю.","Некоммерческие организации: особенности налогообложения и бухгалтерского учета","",,,"","",2013,"М.","","","","","","","","издательство «Книга и бизнес»","","","","","","","","","finance","",""
1,"","history_book2","Данилушкин, М. Б.","История Русской Православной Церкви. От Восстановления Патриаршества до наших дней","",1 (1917-1920),,"","",1997,"СПб.","","https://azbyka.ru/otechnik/Istorija_Tserkvi/istorija-russkoj-pravoslavnoj-tserkvi-ot-vosstanovlenija-patriarshestva-do-nashih-dnej-tom-1-1917-1970","","","","","","«Воскресение»","","","","","","","","","history_books","",""
1,"","dolgin","Долгин, А. Б.","Экономика символического обмена","",,,"","",2006,"М.","","","","","","","","Инфра-М","","","","","","","","","bogoslovie","",""
10,"","jelt_pravd","Желтов М.С., Правдолюбов С., прот.","Богослужение Русской Православной Церкви X-XX вв.","",,,"","",,"","","http://kiev-orthodox.org/site/worship/1132","","","","","","","","","","","","","","","liturgika","",""
1,"","zozulyak","Зозуляк Я., прот.","Катехетическая миссия Церкви","",,,"","",2008,"Киев","","","","","","","","Пролог","","","","","","","","","catechism","",""
1,"","ivanov","Иванов, С. А.","Византийское миссионерство","",,,"","",2003,"М.","","","","","","","","Языки русской культуры","","","","","","","","","missia","",""
1,"","hilarion","Иларион (Алфеев), митр.","Православие","",,,"","",2009,"М.","","","","","","","","издательство Сретенского монастыря","","","","","","","","","liturgika","",""
1,"","iliin1","Ильин, В. И.","Потребление как дискурс","",,,"","",2008,"СПб.","","http://socioline.ru/files/5/316/ilin_v.i._-_potreblenie_kak_diskurs._uchebnoe_posobie_2008.djvu","","","","","","Интерсоцис","","","","","","","","","bogoslovie","",""
1,"","iliin2","Ильин, В. И.","Быт и бытие молодежи российского мегаполиса","",,,"","",2007,"СПб.","","","","","","","","Интерсоцис","","","","","","","","","bogoslovie","",""
1,"","kazennov","Казённов, Д.","Жизнь без бога","",,,"","",2014,"М.","","","","","","","","Эксмо","","","","","","","","","bogoslovie","",""
7,"","kanatieva","Канатьева, Наталья Сергеевна","К истории Астраханского Кирилло-Мефодиевского Братства","Вестник Астраханского государственного технического университета",,5,"","",2006,"","","","","","","","","Федеральное государственное образовательное учреждение высшего~…","","","","","","","","","","",""
1,"","finance4","","Некоммерческие организации: правовое регулирование, бухгалтерский и налоговый учет в свете последних изменений законодательства","",,,"","",2016,"М.","","","","","","","Касьяновой, Г. У.","АБАК","","","","","","","","","finance","",""
1,"","kashkin","Кашкин, А. С.","Устав православного богослужения","",,,"","",2010,"Саратов","","","","","","","","издательство Саратовской епархии","","","","","","","","","liturgika","",""
1,"","kern","Киприан (Керн), архим.","Литургика. Гимнография и эортология.","",,,"","",1997,"М.","","","","","","","","издательство Крутицкого Патриаршего подворья","","","","","","","","","liturgika","",""
7,"","kox","Кокс, Х.","Встреча христианства с другими верованиями","Философия человека: традиции и современность. Реферативный сборник.",,3,"","",1993,"М.","","","","","","","","","","","","","","","","","bogoslovie","",""
1,"","krasov","Красовицкая, М. С.","Литургика","",,,"","",2014,"М.","","","","","","","","ПСТГУ","","","","","","","","","liturgika","",""
1,"","history_book4","Кривова, Н. А.","Власть и Церковь в 1922-1925 гг.","",,,"","",1997,"СПб.","","http://krotov.info/library/11_k/ri/kriv01.html","","","","","","Айро-XX","","","","","","","","","history_books","",""
7,"","chernega","Ксения (Чернега), иг.","Нормы, определяющие порядок осуществления миссионерской деятельности","Православный вестник «Приход»",,4 (130),"","",2016,"М.","","","","","","","","Синергия-пресс","","","","","","","","","missia","",""
1,"","kuraev","Кураев А., протод.","Перестройка в церковь","",,,"","",2009,"М.","","","","","","","","Крутицкое Патриаршее Подворье","","","","","","","","","missia","",""
1,"","leontiev","Леонтьев, А. А.","Психология общения","",,,"","",2007,"М.","","","","","","«Психология для студента»","","«Смысл»","","","","","","","","","psychology","",""
1,"","history_book5","Митрофанов Г., прот.","История Русской Православной Церкви (1900-1927)","",,,"","",2002,"СПб.","","https://azbyka.ru/otechnik/Istorija_Tserkvi/istorija-russkoj-pravoslavnoj-tserkvi-mitrofanov/","","","","","","Сатисъ","","","","","","","","","history_books","",""
1,"","finance1","Никишина, Е.; Макальская, М.","Финансовое обеспечение деятельности православных религиозных организаций","",,,"","",2008,"М.","","","","","","","","издательство «Дело и сервис»","","","","","","","","","finance","",""
1,"","nikulina","Никулина, Е. Н.","Богослужебный устав и гимнография","",,,"","",2005,"М.","","","","","","","","ПСТГУ","","","","","","","","","liturgika","",""
1,"","finance2","Опарина, С.","Учет и налоги в православных религиозных организациях","",,,"","",2011,"М.","","","","","","","","издательство «Дело и сервис»","","","","","","","","","finance","",""
1,"","finance3","Пирожкова, Н.; Макальская, М.","Бухгалтерский учет хозяйственно-экономической деятельности религиозных организаций","",,,"","",2003,"М.","","","","","","","","издательство «Дело и сервис»","","","","","","","","","finance","",""
1,"","platon","Платон (Игумнов), архим.","Православное нравственное богословие","",,,"","",1994,"Сергиев Посад","","","","","","","","Свято-Троицкая Сергиева Лавра","","","","","","","","","nrav","",""
1,"","rogov","Рогов, Е. И.","Психология общения","",,,"","",2014,"М.","","","","","","","","ВЛАДОС","","","","","","","","","psychology","",""
1,"","sarabiev","Сарабьев, А. В.","Христиане Ближнего Востока: вчера, сегодня… завтра?","",,,"","",2017,"М.","","","","","","","","Институт востоковедения РАН","","","","","","","","","bogoslovie","",""
1,"","tolktyp","Скабалланович, М. И.","Толковый Типикон","",,,"","",2008,"М.","","","","","","","","издательство Сретенского монастыря","","","","","","","","","liturgika","",""
7,"","skolota","Сколота, З. Н.","Эстетика новой телесности в виртуальном пространстве","Международный научно-исследовательский журнал",,6,"","",2012,"","","","","","","","","","","","","","","","","","psychology","",""
1,"","skurat","Скурат, К. Е.","Христианское учение о молитве и ее значении в деле нравственного совершенствования","",,,"","",1999,"Клин","","","","","","","","фонд «Христианская жизнь»","","","","","","","","","nrav","",""
1,"","taft","Тафт, Роберт Ф.","Византийский церковный обряд. Краткий очерк.","",,,"","",2005,"СПб","","","","","","","","Алетеиа","","","","","","","","","liturgika","",""
10,"","usatov","Усатов А., прот.","Оглашение на современном этапе","",,,"","",,"","","https://pravobraz.ru/i-oglashenie-na-sovremennom-etape/","","","","","","","","","","","","","","","catechism","",""
1,"","fedorov","","Православная миссия сегодня","",,,"","",1999,"СПб.","","","","","","","Федоров А., прот.","Апостол","","","","","","","","","missia","",""
